Auto Aligned,Binding Type,Initial Aligned Version,Aligned Note,Manual Inspection Notes,Binding?,Related?,Official?,Main package?,ID,Host Repo IDs,Type,Platform,Name,Repository URL,First Version Date,Versions Count,Binding Host,Description,Repository Name with Owner,Repository Description,Keywords,Licenses,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host Normalized,Binding Host Normalized - No Space
Y,,,"aligned after 3.2.0 ~ 4.1.1, https://cocoapods.org/pods/OpenCV2",2.0 versions,TRUE,FALSE,FALSE,,2456057,851991,Binding,CocoaPods,OpenCV2,,2017-10-09 11:12:13,16,OpenCV,OpenCV (Computer Vision) for iOS.,,,,BSD-3-Clause,0,,3,,,,,,,,opencv,opencv
N,,,"most support three versions, 0.29.0 aligned with 4.2, https://crates.io/crates/opencv",,TRUE,FALSE,FALSE,,788920,851991,Binding,Cargo,opencv,https://github.com/twistedfall/opencv-rust,2015-05-14 16:02:56,67,OpenCV,Rust bindings for OpenCV,twistedfall/opencv-rust,Rust bindings for OpenCV 3 & 4,"opencv,vision",MIT,2,,8,853046,GitHub,FALSE,298,MIT,,,opencv,opencv
Y,"build from the official, provide a precompiled version",submodule,"belongs to the official org, but indicated unoffical in the readme https://github.com/opencv/opencv-python, aligned 3.1.0 ~ 4.1.2, https://pypi.org/project/opencv-python/",,TRUE,FALSE,FALSE,,1440995,851991,Binding,Pypi,opencv-python,https://github.com/skvark/opencv-python,2016-09-03 18:35:12,30,OpenCV,Wrapper package for OpenCV python bindings.,skvark/opencv-python,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",,MIT,4,,6280,8203653,GitHub,FALSE,1066,Other,,"manylinux,opencv,opencv-contrib-python,opencv-python,precompiled,pypi,python,python-3,wheel",opencv,opencv
N,Native Abstraction for Node.js,,"support 3.x before 5.0.0, support both 3.x and 4.x after 5.0.0",,TRUE,FALSE,FALSE,,2405186,851991,Binding,NPM,opencv4nodejs,https://github.com/justadudewhohacks/opencv4nodejs,2017-08-20 15:52:16,117,OpenCV,Asynchronous OpenCV 3.x nodejs bindings with JavaScript and TypeScript API.,justadudewhohacks/opencv4nodejs,Nodejs bindings to OpenCV 3 and OpenCV 4,"opencv,cv,computer vision,face,detection,recognition,machine,learning,neural,network,async,typescript",MIT,28,,59,27599825,GitHub,FALSE,3525,MIT,,"async,cv,face-detection,javascript,node,nodejs,opencv,typescript",opencv,opencv
N,,,,,TRUE,FALSE,FALSE,,178575,851991,Binding,NPM,opencv,https://github.com/peterbraden/node-opencv,2012-01-19 8:04:18,30,OpenCV,Node Bindings to OpenCV,peterbraden/node-opencv,OpenCV Bindings for node.js,"opencv,computer,vision,quadrocopter",MIT,61,,307,120303,GitHub,FALSE,3893,MIT,,,opencv,opencv
N,,,,,TRUE,FALSE,FALSE,,3281353,851991,Binding,Clojars,techascent/tech.opencv,https://github.com/tech-ascent/tech.opencv,2018-10-03 0:14:32,54,Opencv,Opencv bindings via javacpp,techascent/tech.opencv,Opencv bindings via the tech.datatype library and javacpp,,EPL-1.0,0,,1,38188311,GitHub,FALSE,14,EPL-1.0,,,opencv,opencv
N,,,"only one version, alignment not found",,TRUE,FALSE,FALSE,,3773020,851991,Binding,CRAN,opencv,https://github.com/ropensci/opencv,2019-04-01 0:00:00,1,OpenCV,Bindings to 'OpenCV' Computer Vision Library,ropensci/opencv,R wrapper of the OpenCV library,,MIT,0,,0,38349148,GitHub,FALSE,68,Other,,"opencv,opencv-library,r,r-package,rstats,unconf,unconf18",opencv,opencv
N,,,,,TRUE,FALSE,FALSE,,1059717,851994,Binding,Cargo,caffe,https://github.com/ajtulloch/caffe.rs,,1,caffe,Caffe FFI bindings for Rust,ajtulloch/caffe.rs,,,BSD-3-Clause,0,,0,2789650,GitHub,FALSE,23,,,,,
N,,,,find the source,TRUE,FALSE,FALSE,,1563492,851994,Binding,NPM,node-caffe,https://github.com/silklabs/node-caffe,2016-07-02 21:55:15,5,Caffe,Caffe bindings for node,silklabs/node-caffe,Caffe bindings for node,caffe,MIT,0,,0,16663039,GitHub,FALSE,24,,,,caffe,caffe
N,,,,,TRUE,FALSE,FALSE,,2157510,851994,Binding,Rubygems,caffe,https://github.com/gyf1214/ruby-caffe,,2,caffe,A ruby wrapper of the deep leaning framework,gyf1214/ruby-caffe,A ruby wrapper of the deep leaning framework,,MIT,0,,0,20054866,GitHub,FALSE,0,MIT,,,,
N,,,,,TRUE,FALSE,FALSE,,184153,852009,Binding,Rubygems,bors,https://github.com/rodeoclash/bors,2013-01-13 6:50:40,4,Vowpal Wabbit,Wrapper for the Vowpal Wabbit library,Rodeoclash/bors,Wrapper for the VowpalWabbit library,,MIT,0,,1,298631,GitHub,FALSE,10,MIT,,,vowpal wabbit,vowpalwabbit
N,,,"11, alignment not found https://github.com/eddelbuettel/rvowpalwabbit",,TRUE,TRUE,TRUE,,691350,852009,Linked Binding,CRAN,RVowpalWabbit,https://github.com/JohnLangford/vowpal_wabbit,2011-09-20 17:22:00,11,,R Interface to the Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",,"CNRI-Python-GPL-Compatible,CNRI-Python-GPL-Compatible",0,,0,852009,GitHub,FALSE,6767,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",,
N,,,,,TRUE,FALSE,FALSE,,815206,852009,Binding,NPM,vw-stream,https://github.com/someben/vw-stream,2015-06-04 21:50:53,7,Vowpal Wabbit,Vowpal Wabbit Node.js Stream,someben/vw-stream,Vowpal Wabbit wrapper for Node.js using streams,"Vowpal Wabbit,Machine Learning,Stochastic Gradient Descent,Online Learning",MIT,1,,0,804308,GitHub,FALSE,4,MIT,,,vowpal wabbit,vowpalwabbit
N,,,,,TRUE,FALSE,FALSE,,999771,852009,Binding,Clojars,engagor/clj-vw,https://github.com/engagor/clj-vw,2015-10-05 7:40:48,13,vowpal wabbit,Clojure client and wrapper for vowpal wabbit,engagor/clj-vw,A clojure client and wrapper for vowpal wabbit.,,BSD-2-Clause,0,,0,353808,GitHub,FALSE,15,BSD-2-Clause,,,vowpal wabbit,vowpalwabbit
Y,,,,,TRUE,TRUE,TRUE,,1023481,852009,Project,NuGet,VowpalWabbit,https://github.com/JohnLangford/vowpal_wabbit,1900-01-01 0:00:00,122,Vowpal Wabbit,Official Vowpal Wabbit library including C# interface.,VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.","vowpal,vw,wabbit,ml,langford,learning,machine",Other,5,,2,852009,GitHub,FALSE,6767,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",vowpal wabbit,vowpalwabbit
Y,,,https://github.com/VowpalWabbit/vowpal_wabbit/blob/8.8.0/setup.py,,TRUE,TRUE,TRUE,,1547862,852009,Linked Binding,Pypi,vowpalwabbit,https://github.com/JohnLangford/vowpal_wabbit,2016-06-21 19:31:30,8,,Vowpal Wabbit Python package,VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",fast machine learning online classification regression,BSD-1-Clause,0,,7,852009,GitHub,FALSE,6767,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",,
Y,,,4,,TRUE,TRUE,TRUE,,2241226,852009,Linked Binding,Maven,com.github.johnlangford:vw-jni,https://github.com/JohnLangford/vowpal_wabbit,2015-06-30 16:08:37,4,," A wrapper around Vowpal Wabbit that allows use through Java. This wrapper is designed to be self contained. Because of the use of JNI, a number of platforms are supported in this JAR. If your platform is not supported please feel free to add it by modifying src/main/bin/build.sh accordingly. ",VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",,MIT,2,,2,852009,GitHub,FALSE,6767,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",,
N,,,"1, https://github.com/jackgerrits/vowpalwabbit-sys-rs/blob/8.6.1-beta/build.rs#L7",,TRUE,FALSE,FALSE,,4044317,852009,Binding,Cargo,vowpalwabbit-sys,https://github.com/jackgerrits/vowpalwabbit-sys-rs,2019-06-02 17:42:13,1,VowpalWabbit,Rust bindings for VowpalWabbit,jackgerrits/vowpalwabbit-sys-rs,,,MIT,0,,0,38965134,GitHub,FALSE,0,MIT,,,vowpalwabbit,vowpalwabbit
Y,,,,,TRUE,TRUE,TRUE,TRUE,2209597,852055,Project,Pypi,pybullet,https://github.com/bulletphysics/bullet3,2017-04-03 6:19:44,168,,Official Python Interface for the Bullet Physics SDK specialized for Robotics Simulation and Reinforcement Learning,bulletphysics/bullet3,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.","game development,virtual reality,physics simulation,robotics,collision detection,opengl",Zlib,7,,89,852055,GitHub,FALSE,5798,Other,,"computer-animation,game-development,kinematics,pybullet,reinforcement-learning,robotics,simulation,simulator,virtual-reality",,
N,,,,,TRUE,FALSE,FALSE,,2257300,852055,Binding,NPM,bullet3,https://github.com/modulesio/bullet3,2017-04-23 1:56:37,3,Bullet3,Bullet3 build compatible with node.js native bindings,modulesio/bullet3,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",,ISC,0,,0,23463092,GitHub,TRUE,0,,,,bullet3,bullet3
Y,,,"6, only found 2.2.0",,TRUE,TRUE,TRUE,,2203941,852190,Project,NuGet,mlpack-windows,https://github.com/mlpack/mlpack,2017-03-28 17:45:15,6,,"mlpack is an intuitive, fast, scalable C++ machine learning library, meant to be a machine learning analog to LAPACK. It aims to implement a wide array of machine learning methods and functions as a swiss army knife for machine learning researchers.",mlpack/mlpack,mlpack: a scalable C++ machine learning library --,"windows,mlpack,native,nativepackage",Other,0,,2,852190,GitHub,FALSE,3016,Other,,"c-plus-plus,deep-learning,machine-learning,machine-learning-library,nearest-neighbor-search,regression",,
Y,,,"6, lost releases bwt 1.0.0 ~ 3.1.1",source 4.0 versions,TRUE,TRUE,TRUE,,2335117,852190,Project,Pypi,mlpack,https://github.com/mlpack/mlpack,2017-06-19 11:29:28,6,,"a flexible, fast machine learning library",mlpack/mlpack,mlpack: a scalable C++ machine learning library --,"machine learning,data mining,deep learning,optimization",BSD-3-Clause,0,,0,852190,GitHub,FALSE,3016,Other,,"c-plus-plus,deep-learning,machine-learning,machine-learning-library,nearest-neighbor-search,regression",,
Y,,,,source 3.0 versions,TRUE,TRUE,TRUE,,2715706,852190,Project,Pypi,mlpack3,https://github.com/mlpack/mlpack,2018-04-04 20:26:19,8,,"a flexible, fast machine learning library",mlpack/mlpack,mlpack: a scalable C++ machine learning library --,"machine learning,data mining,deep learning,optimization",BSD-3-Clause,0,,0,852190,GitHub,FALSE,3016,Other,,"c-plus-plus,deep-learning,machine-learning,machine-learning-library,nearest-neighbor-search,regression",,
N,,,,,TRUE,FALSE,FALSE,,950277,852257,Binding,NPM,mitie,https://github.com/bhelx/mitie,,1,mitie,Node bindings for MIT Information Extraction https://github.com/mit-nlp/MITIE,bhelx/mitie,Node bindings for MIT Information Extraction https://github.com/mit-nlp/MITIE,"mitie,nlp,ner",MIT,1,,1,1127144,GitHub,FALSE,20,MIT,,,,
N,,,,find the source,TRUE,FALSE,FALSE,,1428287,852257,Binding,Rubygems,mitier,https://github.com/satek/mitier,2016-05-01 21:28:55,1,MITIE,MITIE library wrapped in Ruby with FFI. See https://github.com/mit-nlp/MITIE,satek/mitier,MITIE library wrapped in Ruby with FFI,,MIT,0,,0,9817637,GitHub,FALSE,3,MIT,,,mitie,mitie
N,,,"38, supports > 3.03, add 3.02 after 2.6.0 https://github.com/thiagoalessio/tesseract-ocr-for-php/commit/75640575e26d8e6afe99230ab04526fa32d64893#diff-b335630551682c19a781afebcf4d07bf978fb1f8ac04c6bf87428ed5106870f5",,TRUE,FALSE,FALSE,,111675,852560,Binding,Packagist,thiagoalessio/tesseract_ocr,https://github.com/thiagoalessio/tesseract-ocr-for-php,,38,Tesseract OCR,A wrapper to work with Tesseract OCR inside PHP.,thiagoalessio/tesseract-ocr-for-php,A wrapper to work with Tesseract OCR inside PHP.,"Tesseract,OCR,text recognition",MIT,5,,53,79969,GitHub,FALSE,1768,MIT,,"image-to-text,ocr,php,tesseract,text-recognition",tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,175941,852560,Binding,NPM,node-tesseract,https://github.com/desmondmorris/node-tesseract,,12,Tesseract OCR,A simple wrapper for the Tesseract OCR package,desmondmorris/node-tesseract,A simple wrapper for the Tesseract OCR package,"tesseract,ocr,text recognition",MIT,17,,157,118503,GitHub,FALSE,597,Other,,,tesseract ocr,tesseractocr
N,,,"16, alignment not found https://github.com/meh/ruby-tesseract-ocr/issues/63, https://github.com/meh/ruby-tesseract-ocr/issues/4",,TRUE,FALSE,FALSE,,258685,852560,Binding,Rubygems,tesseract-ocr,https://github.com/meh/ruby-tesseract-ocr,,16,tesseract-ocr,A wrapper library to the tesseract-ocr API.,meh/ruby-tesseract-ocr,A Ruby wrapper library to the tesseract-ocr API.,,BSD-3-Clause,3,,54,267374,GitHub,FALSE,510,,,,tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,638939,852560,Binding,Maven,de.vorb:jtesseract,https://github.com/pvorb/jtesseract,,4,Tesseract OCR,jtesseract provides Java wrappers (JNA and BridJ) for Tesseract OCR,tesseract4java/jtesseract,BridJ bindings for Tesseract,,Apache-2.0,0,,2,1003598,GitHub,FALSE,45,,,,tesseract ocr,tesseractocr
N,,,"7, check readme and https://github.com/gali8/Tesseract-OCR-iOS/blob/4.0.0/TesseractOCR/build_dependencies.sh#L11",,TRUE,FALSE,FALSE,,730115,852560,Binding,CocoaPods,TesseractOCRiOS,https://github.com/gali8/Tesseract-OCR-iOS,,7,Tesseract OCR,Use Tesseract OCR in iOS projects written in either Objective-C or Swift.,gali8/Tesseract-OCR-iOS,"Tesseract OCR iOS is a Framework for iOS7+, compiled also for armv7s and arm64.",,MIT,0,,151,364743,GitHub,FALSE,3417,MIT,,,tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,1134396,852560,Binding,Pypi,tesserocr,https://github.com/sirfz/tesserocr,,14,tesseract-ocr,"A simple, Pillow-friendly, Python wrapper around tesseract-ocr API using Cython",sirfz/tesserocr,A Python wrapper for the tesseract-ocr API,"Tesseract,tesseract-ocr,OCR,optical character recognition,PIL,Pillow,Cython",MIT,0,,46,4226325,GitHub,FALSE,1075,MIT,,"cython,ocr,optical-character-recognition,python-library,tesseract",tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,72824,852560,Binding,Pypi,pytesseract,https://github.com/madmaze/pytesseract,,18,Google's Tesseract-OCR,Python-tesseract is a python wrapper for Google's Tesseract-OCR,madmaze/pytesseract,A Python wrapper for Google Tesseract,python-tesseract OCR Python,Apache-2.0,22,,714,292344,GitHub,FALSE,2537,Apache-2.0,,,google s tesseract ocr,googlestesseractocr
N,,,"4, alignment not found, https://github.com/antimatter15/tesseract-rs",,TRUE,FALSE,FALSE,,2166226,852560,Binding,Cargo,tesseract,https://github.com/antimatter15/tesseract-rs,,4,Tesseract OCR,Higher-level bindings for Tesseract OCR,antimatter15/tesseract-rs,Rust bindings for Tesseract,"tesseract,bindings,ocr",MIT,0,,1,13125103,GitHub,FALSE,39,MIT,,,tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,2188286,852560,Binding,NuGet,tesseract.net,https://github.com/tvn-cosine/tesseract.net,,16,Tesseract Ocr,a .net wrapper for Tesseract Ocr.,tvn-cosine/tesseract.net,a .net wrapper for Tesseract,"tesseract,dotNet,OCR",GPL-3.0,0,,4,32091012,GitHub,FALSE,18,GPL-3.0,,,tesseract ocr,tesseractocr
N,,,,,TRUE,FALSE,FALSE,,2710449,852560,Binding,CocoaPods,SwiftyTesseract,https://github.com/SwiftyTesseract/SwiftyTesseract,2018-04-03 19:43:23,6,Tesseract,A Swift wrapper around Tesseract for use in iOS applications.,SwiftyTesseract/SwiftyTesseract,A Swift wrapper around Tesseract for use in iOS applications,,MIT,0,,6,34849597,GitHub,FALSE,60,Other,,"ios,ocr,optical-character-recognition,swift,tesseract",tesseract,tesseract
N,,,,,TRUE,FALSE,FALSE,,3399973,852560,Binding,NPM,node-tesseract2,https://github.com/desmondmorris/node-tesseract,,1,Tesseract OCR,A simple wrapper for the Tesseract OCR package,desmondmorris/node-tesseract,A simple wrapper for the Tesseract OCR package,"tesseract,ocr,text recognition",MIT,0,,0,118503,GitHub,FALSE,597,Other,,,tesseract ocr,tesseractocr
N,,,"13, aligned for two versions 18.13 and 19.4, check https://github.com/ruby-dlib/ruby-dlib/tree/v1.0.2/ext",,TRUE,FALSE,FALSE,,658049,891695,Binding,Rubygems,dlib,https://github.com/ruby-dlib/ruby-dlib,2015-02-25 22:55:56,13,dlib,Ruby bindings of dlib C++ library.,ruby-dlib/ruby-dlib,"Ruby binding of dlib C++ library. Currently, focus on face detection.",,MIT,0,,0,3057276,GitHub,FALSE,25,MIT,,"computer-vision,dlib,face-detector,image-processing,ruby",dlib,dlib
Y,,,"started from 18.17.99, add a number after the number of patch",,TRUE,TRUE,TRUE,TRUE,993924,891695,Project,Pypi,dlib,https://github.com/davisking/dlib,2015-09-27 16:09:18,25,,A toolkit for making real world machine learning and data analysis applications,davisking/dlib,A toolkit for making real world machine learning and data analysis applications in C++,"dlib,Computer Vision,Machine Learning",MirOS,6,,679,891695,GitHub,FALSE,8412,,,"c-plus-plus,computer-vision,deep-learning,machine-learning,machine-learning-library,python",,
Y,,,3,,TRUE,TRUE,TRUE,,1596765,891695,Project,CocoaPods,dlib,https://github.com/davisking/dlib,2016-08-02 11:53:39,3,,A toolkit for making real world machine learning and data analysis applications in C++,davisking/dlib,A toolkit for making real world machine learning and data analysis applications in C++,,MirOS,0,,0,891695,GitHub,FALSE,8412,,,"c-plus-plus,computer-vision,deep-learning,machine-learning,machine-learning-library,python",,
N,,,"2, aligned after 19.2, https://cran.r-project.org/src/contrib/Archive/dlib/, check /dlib/inst/include/dlib/CMakeList and search for ""CPACK_PACKAGE_VERSION_MAJOR""",,TRUE,FALSE,FALSE,,2160730,891695,Binding,CRAN,dlib,,2017-02-20 0:00:00,2,Dlib,Allow Access to the 'Dlib' C++ Library,,,,BSL-1.0,0,,0,,,,,,,,dlib,dlib
Y,,,add a date after the number of patch,,TRUE,FALSE,FALSE,,3555335,891695,Binding,NuGet,DlibDotNet,https://github.com/takuya-takeuchi/DlibDotNet,2018-08-07 17:39:10,22,Dlib,"Dlib wrapper library written in C++ and C# for Windows, MacOS and Linux  Requirements: Visual C++ 2017 Redistributable Package",takuya-takeuchi/DlibDotNet,"Dlib .NET wrapper written in C++ and C# for Windows, MacOS and Linux",".net,dlib,machinelearning",MIT,2,,2,28763389,GitHub,FALSE,213,MIT,,"dlib,dotnet,dotnet-core,linux,macos,windows",dlib,dlib
N,,,,,TRUE,FALSE,FALSE,,2544199,2674263,Binding,NuGet,Kawaian.SharpFace.Windows,https://github.com/Kawaian/SharpFace,2017-11-25 22:11:45,2,OpenFace,C# port of OpenFace with Xamarin support,Kawaian/SharpFace,C#/Xamarin Port of Tadas/OpenFace,"Face,ComputerVision,FaceRecognition",Other,0,,0,30428961,GitHub,FALSE,8,Other,,,openface,openface
Y,,,,,TRUE,TRUE,TRUE,TRUE,2349511,2708615,Project,Pypi,dyNET,https://github.com/clab/dynet,2017-07-02 15:31:47,22,,The Dynamic Neural Network Toolkit,clab/dynet,DyNet: The Dynamic Neural Network Toolkit,,Apache-2.0,1,,14,2708615,GitHub,FALSE,2867,Apache-2.0,,,,
N,,,,,TRUE,FALSE,FALSE,,3880109,2708615,Binding,NuGet,DynetSharp,,2019-04-28 10:05:04,5,DyNet,"DyNet is a neural network library developed by Carnegie Mellon University and many others. It is written in C++ (with bindings in Python and C#) and is designed to be efficient when run on either CPU or GPU, and to work well with networks that have dynamic structures that change for every training instance. For example, these kinds of networks are particularly important in natural language processing tasks, and DyNet has been used to build state-of-the-art systems for syntactic parsing (https://github.com/clab/lstm-parser), machine translation (https://github.com/neubig/lamtram), morphological inflection (https://github.com/mfaruqui/morph-trans), and many other application areas.  Read the documentation (http://dynet.readthedocs.io/en/latest/) to get started, and feel free to contact the dynet-users group (https://groups.google.com/forum/#!forum/dynet-users) group with any questions (if you want to receive email make sure to select ""all email"" when you sign up). We greatly appreciate any bug reports and contributions, which can be made by filing an issue or making a pull request through the github page (http://github.com/clab/dynet).  You can also read more technical details in our technical report (https://arxiv.org/abs/1701.03980).",,,"neural,dynamic,machine,dynet,learning,networks,rnn,lstm,lm,language,mlp,model",,0,,0,,,,,,,,dynet,dynet
Y,,,,,TRUE,FALSE,TRUE,,1263173,2895492,Binding,Rubygems,ruby_postal,https://github.com/openvenues/ruby_postal,2016-03-15 15:00:58,5,libpostal,Ruby bindings for libpostal (fast address parsing/normalization),openvenues/ruby_postal,Ruby bindings to libpostal for fast international address parsing/normalization,,MIT,0,,1,6463777,GitHub,FALSE,58,MIT,,,libpostal,libpostal
N,,,,,TRUE,FALSE,TRUE,,1283582,2895492,Binding,Pypi,postal,https://github.com/openvenues/pypostal,2016-03-23 19:26:15,12,libpostal,Python bindings to libpostal for fast international address parsing/normalization,openvenues/pypostal,Python bindings to libpostal for fast international address parsing/normalization,,MIT,0,,8,5382183,GitHub,FALSE,313,MIT,,"address,address-parser,binding,international,nlp",libpostal,libpostal
N,,,,,TRUE,FALSE,FALSE,,1572584,2895492,Binding,CPAN,Geo-libpostal,https://github.com/dnmfarrell/Geo-libpostal,2016-07-12 4:45:34,7,libpostal,Perl bindings for libpostal,dnmfarrell/Geo-libpostal,Perl bindings for libpostal,,BSD-2-Clause-FreeBSD,0,,0,11685634,GitHub,FALSE,3,BSD-2-Clause,,,libpostal,libpostal
N,,,,,TRUE,FALSE,FALSE,,3211033,2895492,Binding,Hackage,haskell-postal,https://github.com/netom/haskell-postal,2018-08-13 11:00:06,5,libpostal,Provides an interface for the libpostal NLP library,netom/haskell-postal,Haskell binding for the libpostal library,"mit,natural-language-processing,program,Propose Tags ,NLP.Postal,,https://github.com/openvenues/libpostal",MIT,0,,0,36455250,GitHub,FALSE,0,MIT,,,libpostal,libpostal
N,,,,,TRUE,FALSE,FALSE,,4220686,2895492,Binding,Cargo,postal,https://github.com/pnordahl/rust-postal,2019-07-09 19:02:31,5,libpostal,FFI bindings and safe interface to libpostal,pnordahl/rust-postal,Rust FFI bindings and safe interface to libpostal.,"postal,libpostal",MIT,0,,0,39103935,GitHub,FALSE,4,MIT,,,libpostal,libpostal
N,,,,async,TRUE,TRUE,FALSE,,4264631,2895492,Binding,NPM,postal-async,https://github.com/pirxpilot/postal-async,2019-07-26 5:32:17,4,libpostal,Async NAPI based interface for libpostal.,pirxpilot/postal-async,Async NAPI based interface for libpostal,"libpostal,postal",MIT,1,,1,39149192,GitHub,FALSE,0,,,,libpostal,libpostal
Y,,,,,TRUE,FALSE,FALSE,TRUE,1201908,3109714,Binding,Pypi,tensorflow,,,82,tensorflow,TensorFlow is an open source machine learning framework for everyone.,,,tensorflow tensor machine learning,Apache-2.0,12,,11262,,,,,,,,,
N,,,"20, check https://github.com/tensorflow/rust/blob/v0.14.0/tensorflow-sys/build.rs",,TRUE,FALSE,TRUE,,1436440,3109714,Binding,Cargo,tensorflow,https://github.com/tensorflow/rust,,20,tensorflow,Rust language bindings for TensorFlow.,tensorflow/rust,Rust language bindings for TensorFlow,"bindings,tensorflow",Apache-2.0,7,,20,4944486,GitHub,FALSE,2064,Apache-2.0,,"machine-learning,rust,tensorflow",,
N,,,"0.7~1.13.1 used ""latest"" tensorflow, aligned at 1.14.0 and 2.0.0, check https://github.com/rstudio/tensorflow/blob/2.0.0/R/install.R",,TRUE,FALSE,FALSE,,2190854,3109714,Binding,CRAN,tensorflow,https://github.com/rstudio/tensorflow,2017-03-22 0:00:00,16,TensorFlow,R Interface to 'TensorFlow',rstudio/tensorflow,TensorFlow for R,,Apache-2.0,14,,40,13782163,GitHub,FALSE,1154,Apache-2.0,,,tensorflow,tensorflow
N,,,"4, 3 for 1.0.0 and 1 for 1.9.0, see docker file https://github.com/tensorflow/haskell/blob/v0.2.0.0/docker/Dockerfile, and the changelog",,TRUE,TRUE,TRUE,,2279315,3109714,Binding,Hackage,tensorflow,https://github.com/tensorflow/haskell,2017-05-10 22:53:55,4,TensorFlow,Haskell bindings for TensorFlow,tensorflow/haskell,Haskell bindings for TensorFlow,"machine-learning,Propose Tags ",Other,0,,6,14754130,GitHub,FALSE,984,Apache-2.0,,,tensorflow,tensorflow
